CODE	LABEL
aar	Afar
abk	Abkhaz
abr	Aboriginal-Australians
ace	Acehnese
acg	Achang
ach	Acholi
ada	Ga
adi	Adivasi
adj	Adjarians
ady	Adyghe
afa	Black-African
afr	Afrikaners
ahm	Ahmadis
ain	Ainu
aja	Aja
aka	Akan
aku	Aku
ala	Alawi
alb	Albanian
ale	Aleut
alg	Algonquian
alt	Altay
alu	Alur
amb	Ambonese
ame	Americo-Liberians
amh	Amhara
anp	Angika speakers
apa	Apache
ara	Arab
ARB	Arab
arg	Aragonese
arm	Armenian
arn	Mapuche
arp	Arapaho
arw	Arawak
asa	Asian
ash	Ashkenazi Jews
asm	Assamese
ast	Asturian
asy	Assyrian
ata	Atacamenos
atg	Argentinians
ath	Athabaskan
ats	Agnostic/Athiest
aus	Australians
auu	Austrians
ava	Caucasian Avars
awa	Awadhi
aym	Aymara
aze	Azerbaijani
bad	Baganda
bah	Bahais
bai	Bamileke
bak	Bashkirs
bal	Baloch
bam	Bambara
ban	Balinese
baq	Basque
bar	Bari
bas	Basoga
bay	Gbaya
bda	Rakhine
bej	Beja
bel	Belarusians
bem	Bemba
ben	Bengali-Hindu
ber	Berber
bey	Beydan
bho	Bhojpuri
bih	Bihari
bii	Bai
bik	Bicolano
bin	Edo
bis	Urban ni-Vanautu
bke	Bateke
bkn	Bakongo
bkw	Bakweri
bla	Siksikawa
blg	Blang
blk	Balkars
bln	Balanta
bmr	Bamar
bni	Beni-Shugal-Gumez
bnt	Bantu
bny	Banyarwanda
bod	Bodo
bod	Tibetan
bol	Bolivia
bon	Bonan
bos	Bosniaks
bou	Buyei
bra	Brijwasi
brb	Bariba
bre	Breton
brh	Brahui
brk	Burakumin
brm	Kurichiya
bsh	Bushmen
bst	Baster
bsu	Subiya
bte	Beti-Pahuin
btk	Batak
bua	Buryat
bud	Buddhist
bug	Bugis
bul	Bulgarian
byn	Bilen
cab	Cabindan-Mayombe
cad	Caddo
cap	Cape Verdean
car	Kali'na
cat	Catalan
ceb	Cebuano
cha	Chamorro
chc	Chukchi
che	Chechen
chg	Chagatai
chi	Chinese
chk	Chuukese
