CAMEOEVENTCODE	EVENTDESCRIPTION
01	MAKE PUBLIC STATEMENT
010	Make statement, not specified below
011	Decline comment
012	Make pessimistic comment
013	Make optimistic comment
014	Consider policy option
015	Acknowledge or claim responsibility
016	Deny responsibility
017	Engage in symbolic act
018	Make empathetic comment
019	Express accord
02	APPEAL
020	Appeal, not specified below
021	Appeal for material cooperation, not specified below
0211	Appeal for economic cooperation
0212	Appeal for military cooperation
0213	Appeal for judicial cooperation
0214	Appeal for intelligence
022	Appeal for diplomatic cooperation, such as policy support
023	Appeal for aid, not specified below
0231	Appeal for economic aid
0232	Appeal for military aid
0233	Appeal for humanitarian aid
0234	Appeal for military protection or peacekeeping
024	Appeal for political reform, not specified below
0241	Appeal for change in leadership
0242	Appeal for policy change
0243	Appeal for rights
0244	Appeal for change in institutions, regime
025	Appeal to yield
0251	Appeal for easing of administrative sanctions
0252	Appeal for easing of popular dissent
0253	Appeal for release of persons or property
0254	Appeal for easing of economic sanctions, boycott, or embargo
0255	Appeal for target to allow international involvement (non-mediation)
0256	Appeal for de-escalation of military engagement
026	Appeal to others to meet or negotiate
027	Appeal to others to settle dispute
028	Appeal to others to engage in or accept mediation
03	EXPRESS INTENT TO COOPERATE
030	Express intent to cooperate, not specified below
031	Express intent to engage in material cooperation,  not specified below
0311	Express intent to cooperate economically
0312	Express intent to cooperate militarily
0313	Express intent to cooperate on judicial matters
0314	Express intent to cooperate on intelligence
032	Express intent to provide diplomatic cooperation such as policy support
033	Express intent to provide matyerial aid, not specified below
0331	Express intent to provide economic aid
0332	Express intent to provide military aid
0333	Express intent to provide humanitarian aid
0334	Express intent to provide military protection or peacekeeping
034	Express intent to institute political reform, not specified below
0341	Express intent to change leadership
0342	Express intent to change policy
0343	Express intent to provide rights
0344	Express intent to change institutions, regime
035	Express intent to yield, not specified below
0351	Express intent to ease administrative sanctions
0352	Express intent to ease popular dissent
0353	Express intent to release persons or property
0354	Express intent to ease economic sanctions, boycott, or embargo
0355	Express intent allow international involvement (not mediation)
0356	Express intent to de-escalate military engagement 
036	Express intent to meet or negotiate
037	Express intent to settle dispute
038	Express intent to accept mediation
039	Express intent to mediate
04	CONSULT
040	Consult, not specified below
041	Discuss by telephone
042	Make a visit
043	Host a visit
044	Meet at a ÒhirdÓlocation
045	Mediate
046	Engage in negotiation
05	ENGAGE IN DIPLOMATIC COOPERATION
050	Engage in diplomatic cooperation, not specified below
051	Praise or endorse
052	Defend verbally
053	Rally support on behalf of
054	Grant diplomatic recognition
055	Apologize
056	Forgive
057	Sign formal agreement
06	ENGAGE IN MATERIAL COOPERATION
060	Engage in material cooperation, not specified below
061	Cooperate economically
062	Cooperate militarily
063	Engage in judicial cooperation
064	Share intelligence or information
07	PROVIDE AID
070	Provide aid, not specified below
071	Provide economic aid
072	Provide military aid
073	Provide humanitarian aid
074	Provide military protection or peacekeeping
075	Grant asylum
08	YIELD
080	Yield, not specified below 
081	Ease administrative sanctions, not specified below
0811	Ease restrictions on political freedoms
0812	Ease ban on political parties or politicians
0813	Ease curfew
0814	Ease state of emergency or martial law
082	Ease political dissent 
083	Accede to requests or demands for political reform not specified below
0831	Accede to demands for change in leadership
0832	Accede to demands for change in policy
0833	Accede to demands for rights
0834	Accede to demands for change in institutions, regime
084	Return, release, not specified below
0841	Return, release person(s)
0842	Return, release property
085	Ease economic sanctions, boycott, embargo
086	Allow international involvement not specified below
0861	Receive deployment of peacekeepers
0862	Receive inspectors
0863	Allow delivery of humanitarian aid
087	De-escalate military engagement
0871	Declare truce, ceasefire
0872	Ease military blockade
0873	Demobilize armed forces
0874	Retreat or surrender militarily
09	INVESTIGATE
090	Investigate, not specified below
091	Investigate crime, corruption
092	Investigate human rights abuses
093	Investigate military action
094	Investigate war crimes
10	DEMAND
100	Demand, not specified below
101	Demand information, investigation
1011	Demand economic cooperation
1012	Demand military cooperation
1013	Demand judicial cooperation
1014	Demand intelligence cooperation
102	Demand policy support
103	Demand aid, protection, or peacekeeping
1031	Demand economic aid
1032	Demand military aid
1033	Demand humanitarian aid
1034	Demand military protection or peacekeeping
104	Demand political reform, not specified below
1041	Demand change in leadership
1042	Demand policy change
1043	Demand rights
1044	Demand change in institutions, regime
105	Demand mediation
1051	Demand easing of administrative sanctions
1052	Demand easing of political dissent
1053	Demand release of persons or property
1054	Demand easing of economic sanctions, boycott, or embargo
1055	Demand that target allows international involvement (non-mediation)
1056	Demand de-escalation of military engagement106:[-5.0] Demand withdrawal
